episode,timestep,reward
1,2000,-3118.0764
3,4000,-3155.1178
5,6000,-3152.1452
7,8000,-3154.0867
9,10000,-3150.8093
11,12000,-3155.1336
13,14000,-3140.6573
15,16000,-3143.7502
17,18000,-3123.9662
19,20000,-3079.8228
21,22000,-3078.5128
23,24000,-3064.9665
25,26000,-3096.7138
27,28000,-3084.8665
29,30000,-3067.9117
31,32000,-3105.7887
33,34000,-3102.3308
35,36000,-3071.8145
37,38000,-3067.7093
39,40000,-3042.1159
41,42000,-3081.547
43,44000,-3073.7342
45,46000,-3057.4066
47,48000,-3050.7475
49,50000,-3010.9895
51,52000,-3025.7928
53,54000,-2965.2568
55,56000,-2927.1428
57,58000,-2920.7841
59,60000,-2945.29
61,62000,-2914.8664
63,64000,-2871.4874
65,66000,-2888.4614
67,68000,-2880.0524
69,70000,-2911.6136
71,72000,-2905.6111
73,74000,-2909.0712
75,76000,-2911.497
77,78000,-2884.7635
79,80000,-2899.9152
81,82000,-2845.9117
83,84000,-2855.2339
85,86000,-2857.5696
87,88000,-2850.6529
89,90000,-2810.6297
91,92000,-2824.4193
93,94000,-2778.5724
95,96000,-2778.7273
97,98000,-2775.7668
99,100000,-2750.8362
101,102000,-2760.9974
103,104000,-2733.5372
105,106000,-2746.5795
107,108000,-2770.74
109,110000,-2726.0044
111,112000,-2700.785
113,114000,-2719.6863
115,116000,-2749.0584
117,118000,-2664.8572
119,120000,-2673.3688
121,122000,-2646.3208
123,124000,-2649.4629
125,126000,-2653.9885
127,128000,-2622.0868
129,130000,-2662.1843
131,132000,-2616.7856
133,134000,-2614.783
135,136000,-2644.7662
137,138000,-2583.5256
139,140000,-2589.663
141,142000,-2575.7306
143,144000,-2539.5932
145,146000,-2563.6947
147,148000,-2555.7244
149,150000,-2580.7775
151,152000,-2546.3105
153,154000,-2580.0639
155,156000,-2583.0113
157,158000,-2570.5185
159,160000,-2579.4951
161,162000,-2572.315
163,164000,-2594.7509
165,166000,-2560.9092
167,168000,-2570.1072
169,170000,-2525.2905
171,172000,-2482.9937
173,174000,-2516.6961
175,176000,-2506.1378
177,178000,-2507.4107
179,180000,-2495.0993
181,182000,-2520.3494
183,184000,-2533.8136
185,186000,-2501.2761
187,188000,-2510.9416
189,190000,-2506.0402
191,192000,-2482.6222
193,194000,-2476.4079
195,196000,-2476.9228
197,198000,-2486.2024
199,200000,-2460.9222
201,202000,-2489.838
203,204000,-2488.3449
205,206000,-2479.2273
