episode,timestep,reward
1,2000,-144205.9877
3,4000,-122797.8722
5,6000,-147797.9513
7,8000,-125958.6587
9,10000,-136857.2049
11,12000,-131245.1717
13,14000,-131467.4155
15,16000,-139622.5301
17,18000,-119527.7801
19,20000,-142131.5634
21,22000,-113513.9666
23,24000,-144482.9595
25,26000,-114353.9331
27,28000,-137506.0483
29,30000,-116732.2409
31,32000,-139577.7225
33,34000,-120721.5316
35,36000,-138648.4538
37,38000,-121177.8475
39,40000,-125400.1419
41,42000,-130702.2805
43,44000,-118123.6282
45,46000,-133461.3128
47,48000,-108262.792
49,50000,-134303.5574
51,52000,-106667.975
53,54000,-138319.1054
55,56000,-109326.4042
57,58000,-128555.9989
59,60000,-110491.1723
61,62000,-127899.0045
63,64000,-115327.4541
65,66000,-124919.502
67,68000,-115049.6161
69,70000,-109614.0085
71,72000,-128712.0908
73,74000,-107992.1826
75,76000,-128423.4497
77,78000,-99961.7866
79,80000,-130970.8081
81,82000,-99879.5771
83,84000,-128476.9405
85,86000,-102740.2356
87,88000,-123032.6917
89,90000,-108483.0678
91,92000,-122753.1378
93,94000,-111720.4874
95,96000,-116893.7925
97,98000,-110437.5204
99,100000,-104474.3278
101,102000,-119631.7245
103,104000,-101106.179
105,106000,-117045.162
107,108000,-86940.2215
109,110000,-118083.1505
111,112000,-88068.5748
113,114000,-114677.0598
115,116000,-88977.2898
117,118000,-113174.6082
119,120000,-96338.1688
121,122000,-112764.7804
123,124000,-97315.577
125,126000,-105033.3691
127,128000,-99085.953
129,130000,-99496.9815
131,132000,-106022.0654
133,134000,-92884.1531
135,136000,-99780.5366
137,138000,-80766.7902
139,140000,-109566.5004
141,142000,-84341.1354
143,144000,-105010.8568
145,146000,-89427.3229
147,148000,-101297.9157
149,150000,-93564.5424
151,152000,-99304.6681
153,154000,-89656.7848
155,156000,-93208.2761
157,158000,-94643.4869
159,160000,-89554.2802
161,162000,-95165.7662
163,164000,-89168.6714
165,166000,-94668.7422
167,168000,-76330.5037
169,170000,-100907.563
171,172000,-77436.002
173,174000,-96947.7705
175,176000,-81333.2358
177,178000,-92868.1685
179,180000,-85902.2905
181,182000,-90505.0011
183,184000,-82767.4647
185,186000,-86801.896
187,188000,-90522.4322
189,190000,-85234.4425
191,192000,-90657.9833
193,194000,-79841.7204
195,196000,-92310.5418
197,198000,-70694.5302
199,200000,-95057.9263
201,202000,-73073.8879
203,204000,-88711.2647
205,206000,-80442.4114
207,208000,-90162.8947
209,210000,-78788.17
211,212000,-86875.4141
213,214000,-80967.2397
215,216000,-82089.4937
217,218000,-83799.7363
219,220000,-78942.5723
221,222000,-84833.2979
223,224000,-71714.6035
225,226000,-86685.2263
227,228000,-64778.959
229,230000,-88161.2367
231,232000,-70412.882
233,234000,-78311.0299
235,236000,-75092.8537
237,238000,-80764.8681
239,240000,-74283.9425
241,242000,-78283.9493
243,244000,-73086.9699
245,246000,-76483.7105
247,248000,-77909.6496
249,250000,-73975.5632
251,252000,-77419.0176
253,254000,-63286.6491
255,256000,-83888.5138
257,258000,-59288.7354
259,260000,-79813.4541
