episode,timestep,reward
1,2000,-109769.8529
3,4000,-107131.3119
5,6000,-107815.1227
7,8000,-107504.0173
9,10000,-106171.3387
11,12000,-106937.309
13,14000,-106631.2322
15,16000,-106289.881
17,18000,-105438.238
19,20000,-104641.1356
21,22000,-104885.7899
23,24000,-104318.2488
25,26000,-104032.6553
27,28000,-104694.4978
29,30000,-102597.7417
31,32000,-103454.6041
33,34000,-103053.4064
35,36000,-103516.4699
37,38000,-102688.2923
39,40000,-102385.6571
41,42000,-103109.4822
43,44000,-102131.017
45,46000,-102004.9557
47,48000,-101311.9967
49,50000,-101724.328
51,52000,-101251.3351
53,54000,-100264.8452
55,56000,-100426.1248
57,58000,-100540.0662
59,60000,-99206.3539
61,62000,-100751.3945
63,64000,-98538.6019
65,66000,-97634.4145
67,68000,-98922.4138
69,70000,-98156.7148
71,72000,-98049.4134
73,74000,-99554.344
75,76000,-98372.3003
77,78000,-98023.1556
79,80000,-97288.6622
81,82000,-96460.821
83,84000,-96189.273
85,86000,-96629.9756
87,88000,-95803.9257
89,90000,-96576.8626
91,92000,-96621.9767
93,94000,-97471.4053
95,96000,-97984.0009
97,98000,-94937.1027
99,100000,-94841.0342
101,102000,-94109.9447
103,104000,-92767.2692
105,106000,-94027.2557
107,108000,-92269.554
109,110000,-94191.7823
111,112000,-92568.7519
113,114000,-91925.0467
115,116000,-92246.5799
117,118000,-92592.4615
119,120000,-91008.6492
121,122000,-91561.7245
123,124000,-89980.3909
125,126000,-90262.5009
127,128000,-87560.4918
129,130000,-89619.3869
131,132000,-89882.3172
133,134000,-90509.2095
135,136000,-88949.2879
137,138000,-89114.5392
139,140000,-87796.2213
141,142000,-86450.5488
143,144000,-85385.2932
145,146000,-85982.3857
147,148000,-85103.8028
149,150000,-86236.8548
151,152000,-84167.6892
153,154000,-84445.9465
155,156000,-84169.2168
157,158000,-82802.8179
159,160000,-83184.5344
161,162000,-82374.156
163,164000,-81201.4174
165,166000,-80602.5972
167,168000,-80201.4833
169,170000,-80589.4626
171,172000,-79640.9672
173,174000,-77642.7393
175,176000,-77930.1984
177,178000,-79433.9002
179,180000,-77970.9704
181,182000,-78429.9147
183,184000,-77404.3031
185,186000,-77807.5928
