episode,timestep,reward
1,2000,-131810.3543
3,4000,-121989.15
5,6000,-121098.4501
7,8000,-121939.4047
9,10000,-120877.0698
11,12000,-118340.566
13,14000,-119640.9714
15,16000,-120249.4806
17,18000,-120239.0925
19,20000,-120543.1202
21,22000,-119070.5093
23,24000,-119299.8087
25,26000,-118038.4624
27,28000,-118169.2651
29,30000,-118895.1282
31,32000,-118491.5021
33,34000,-118373.1449
35,36000,-118247.5805
37,38000,-118461.0674
39,40000,-118694.3525
41,42000,-119535.2012
43,44000,-118991.3542
45,46000,-120520.7382
47,48000,-120582.1744
49,50000,-120320.1525
51,52000,-119493.2237
53,54000,-119127.2355
55,56000,-119958.457
57,58000,-119517.8304
59,60000,-119883.1895
61,62000,-119152.372
63,64000,-118906.9314
65,66000,-119169.6316
67,68000,-118287.3353
69,70000,-119108.6582
71,72000,-119192.9022
73,74000,-120125.4943
75,76000,-120374.8948
77,78000,-119829.5346
79,80000,-118832.2646
81,82000,-119046.5425
83,84000,-118480.42
85,86000,-118963.2192
87,88000,-119132.262
89,90000,-119912.9712
91,92000,-118525.6246
93,94000,-118552.7756
95,96000,-119540.858
97,98000,-118133.143
99,100000,-117881.9181
101,102000,-117735.2733
103,104000,-117613.4365
105,106000,-117757.7225
107,108000,-117597.462
109,110000,-116495.447
111,112000,-117665.8854
113,114000,-116464.4488
115,116000,-116555.8176
117,118000,-115136.3702
119,120000,-116206.0111
121,122000,-116165.8338
123,124000,-114396.3314
125,126000,-115129.3179
127,128000,-115317.6777
129,130000,-113716.5551
131,132000,-113720.1449
133,134000,-113353.4131
135,136000,-113518.7707
137,138000,-113413.4505
139,140000,-113409.1526
141,142000,-112382.9225
143,144000,-110604.7089
145,146000,-110936.6391
147,148000,-108572.3769
149,150000,-111240.2736
151,152000,-110039.4277
153,154000,-107620.1087
155,156000,-108414.5489
157,158000,-108355.0262
159,160000,-107588.7822
161,162000,-110510.4477
163,164000,-110664.5103
165,166000,-109101.668
167,168000,-107936.9267
169,170000,-107098.6859
171,172000,-107266.6725
173,174000,-107181.7481
175,176000,-107582.2448
177,178000,-108141.7757
179,180000,-109224.976
181,182000,-108138.019
183,184000,-106195.5076
185,186000,-107272.1214
187,188000,-105402.9394
189,190000,-106151.2046
191,192000,-105972.5798
193,194000,-104872.2812
195,196000,-105815.5646
197,198000,-106719.2466
199,200000,-105599.6335
201,202000,-105887.7899
203,204000,-103990.3526
205,206000,-102737.8445
207,208000,-102682.3397
209,210000,-102144.4952
211,212000,-102306.1434
213,214000,-102487.5721
215,216000,-101275.1727
217,218000,-101040.675
219,220000,-99244.2324
221,222000,-99390.5015
223,224000,-98214.3782
225,226000,-99512.9723
227,228000,-97596.7238
229,230000,-99258.7282
231,232000,-97951.8095
233,234000,-97537.1592
235,236000,-98827.3522
237,238000,-97141.0856
239,240000,-97373.6274
241,242000,-96274.8428
243,244000,-95172.3666
245,246000,-93243.0061
247,248000,-93274.6947
249,250000,-92716.8286
251,252000,-94647.4685
253,254000,-93774.1177
255,256000,-95691.3532
257,258000,-93010.6167
259,260000,-92342.9826
261,262000,-92164.4021
263,264000,-92559.4841
265,266000,-94270.6356
267,268000,-91778.0036
269,270000,-91840.3811
271,272000,-90501.9699
273,274000,-90521.9235
275,276000,-91183.783
277,278000,-89838.2124
279,280000,-89695.4469
281,282000,-90142.9931
283,284000,-89229.7214
285,286000,-90060.4497
287,288000,-87894.1657
289,290000,-87925.7283
291,292000,-86462.1249
293,294000,-86267.2636
295,296000,-86111.9637
297,298000,-85106.4931
299,300000,-86555.8181
301,302000,-86140.1278
303,304000,-85331.0591
305,306000,-85781.944
307,308000,-84662.7505
309,310000,-86157.6577
311,312000,-84404.4399
313,314000,-85288.2685
315,316000,-83891.0145
317,318000,-82213.3447
319,320000,-83468.1853
321,322000,-82165.3391
323,324000,-84109.7422
325,326000,-83621.2038
327,328000,-82114.4219
329,330000,-84903.4386
331,332000,-83130.7305
333,334000,-82698.6287
335,336000,-81041.9958
337,338000,-83671.8928
339,340000,-83342.5585
341,342000,-83402.1071
343,344000,-83794.0919
345,346000,-84765.0283
347,348000,-83129.8714
349,350000,-83422.1028
351,352000,-83371.2402
353,354000,-86287.0713
355,356000,-84484.0738
357,358000,-85549.6887
359,360000,-85198.9828
361,362000,-84796.1501
363,364000,-85269.5878
365,366000,-85009.1724
367,368000,-84681.9262
369,370000,-82895.747
371,372000,-84978.3639
373,374000,-85433.6417
375,376000,-84123.9123
377,378000,-83783.2504
379,380000,-84282.7619
381,382000,-83160.17
383,384000,-83688.3677
385,386000,-83450.94
387,388000,-81902.8866
389,390000,-81484.587
